gene_symbol	ACD	ACN	ALO
SIAH3	9.211	8.770	10.120
SIDT1	41.000	33.716	12.500
SIDT2	547.839	1016.422	701.660
SIGIRR	107.733	128.019	125.340
SIGLEC1	133.367	146.550	52.970
SIGLEC10	49.989	88.197	159.140
SIGLEC10 /// SIGLEC12	19.944	31.202	63.480
SIGLEC11	21.383	21.540	45.630
SIGLEC15	41.856	41.159	19.980
SIGLEC16	21.867	16.998	14.960
SIGLEC5	44.500	47.304	35.080
SIGLEC6	29.426	27.921	37.907
SIGLEC7	51.737	44.377	32.407
SIGLEC8	21.504	18.337	26.547
SIGLEC9	38.644	51.389	35.200
SIGLECP3	29.733	37.609	17.180
SIGMAR1	185.344	228.185	414.400
SIK1	251.489	215.384	1002.900
SIK2	76.069	76.228	95.505
SIK3	177.998	123.365	75.960
SIKE1	35.271	57.085	135.288
SIL1	241.100	268.896	523.200
SILV	312.767	404.038	229.660
SIM1	31.156	22.464	17.647
SIM2	30.256	21.531	30.690
SIN3A	102.481	121.516	140.320
SIN3B	103.659	84.324	38.113
SIP1	56.014	83.696	67.600
SIPA1	86.644	110.357	45.340
SIPA1L1	114.233	136.026	93.970
SIPA1L2	156.419	215.544	169.133
SIPA1L3	57.011	80.269	105.290
SIRPA	146.911	179.034	250.160
SIRPB1	22.704	22.276	17.647
SIRPB2	23.033	26.233	20.220
SIRPD	27.689	25.485	16.140
SIRPG	18.822	16.209	22.800
SIRT1	205.989	240.076	121.960
SIRT2	172.300	142.343	59.330
SIRT3	129.400	103.800	79.967
SIRT4	15.689	19.596	15.970
SIRT5	35.761	44.496	89.833
SIRT6	117.006	111.934	105.590
SIRT7	273.122	212.697	119.960
SIT1	73.167	47.273	49.160
SIVA1	233.407	228.453	190.153
SIX1	25.878	31.754	72.640
SIX2	26.000	32.357	26.310
SIX3	11.907	12.034	13.500
SIX4	16.544	24.753	16.440
SIX5	46.167	62.577	45.320
SIX6	17.967	15.951	14.840
SKA1	11.356	12.434	9.840
SKA2	172.639	283.019	174.170
SKA3	30.778	30.545	19.180
SKAP1	119.256	55.550	28.780
SKAP2	133.993	185.819	107.697
SKI	289.228	585.742	252.350
SKIL	14.693	16.547	139.587
SKIV2L	245.589	203.559	356.660
SKIV2L2	377.378	371.939	295.007
SKP1	1915.478	2546.188	1662.395
SKP2	100.226	128.998	140.840
SLA	329.911	249.281	54.120
SLA2	72.839	47.041	49.640
SLAIN1	14.289	16.941	12.740
SLAIN2	137.862	149.265	407.277
SLAMF1	77.633	45.419	22.127
SLAMF6	50.422	28.088	18.360
SLAMF7	41.044	65.328	43.633
SLAMF8	165.511	177.737	111.580
SLAMF9	32.306	28.093	21.880
SLBP	562.056	870.079	136.560
SLC10A1	22.433	16.502	20.520
SLC10A2	14.456	12.443	9.800
SLC10A3	202.222	259.260	195.260
SLC10A4	8.456	8.060	8.200
SLC10A7	15.193	16.116	12.700
SLC11A1	47.419	48.060	55.330
SLC11A2	165.444	289.547	234.332
SLC12A1	16.394	14.932	13.940
SLC12A2	355.361	654.733	1325.290
SLC12A3	29.858	25.999	23.190
SLC12A4	59.262	58.559	92.684
SLC12A5	15.411	13.444	9.320
SLC12A6	132.207	214.474	178.613
SLC12A7	504.189	434.549	409.020
SLC12A8	37.722	84.942	74.400
SLC12A9	81.078	59.923	57.227
SLC13A1	8.817	7.625	7.480
SLC13A2	31.961	34.828	161.990
SLC13A3	41.050	37.456	31.690
SLC13A4	43.867	49.076	54.640
SLC13A5	20.322	21.105	25.940
SLC14A1	17.567	36.738	40.360
SLC14A2	17.089	15.837	12.960
SLC15A1	34.306	182.414	610.060
SLC15A2	19.863	20.191	22.047
SLC15A3	131.956	158.857	43.300
SLC15A4	224.244	230.048	119.900
SLC16A1	112.653	155.129	118.640
SLC16A10	104.811	267.934	93.410
SLC16A11	37.706	48.493	109.820
SLC16A14	451.322	252.538	118.380
SLC16A2	65.500	78.281	54.440
SLC16A3	69.556	60.730	62.816
SLC16A4	15.111	19.071	13.160
SLC16A5	48.833	72.103	52.353
SLC16A6	79.506	183.403	69.630
SLC16A7	246.374	228.485	272.747
SLC16A8	49.000	51.402	96.940
SLC16A9	21.678	30.424	26.080
SLC17A1	12.348	10.833	12.633
SLC17A2	12.944	11.129	11.980
SLC17A3	16.456	12.960	10.180
SLC17A4	15.972	13.306	11.350
SLC17A5	158.944	188.889	136.800
SLC17A6	12.722	10.411	10.880
SLC17A7	55.183	68.961	30.710
SLC17A8	7.844	7.846	6.580
SLC17A9	66.281	59.715	60.553
SLC18A1	15.500	14.779	13.200
SLC18A2	55.189	67.375	88.140
SLC18A3	27.656	29.627	43.800
SLC19A1	39.624	43.798	55.834
SLC19A2	138.844	256.084	174.440
SLC19A3	19.617	40.659	43.070
SLC1A1	32.050	45.185	25.260
SLC1A2	19.150	21.173	18.620
SLC1A3	134.883	160.352	116.420
SLC1A4	152.567	206.214	178.620
SLC1A5	231.733	129.056	111.500
SLC1A6	29.604	71.553	29.767
SLC1A7	28.800	25.361	35.193
SLC20A1	803.278	513.963	133.440
SLC20A2	74.300	66.490	98.400
SLC22A1	22.467	16.887	16.840
SLC22A11	21.289	18.180	17.340
SLC22A12	36.144	26.799	25.220
SLC22A13	23.989	24.887	18.880
SLC22A14	67.844	60.820	30.160
SLC22A15	62.844	62.552	27.240
SLC22A16	17.378	19.360	13.060
SLC22A17	38.289	41.276	72.070
SLC22A18	160.633	185.250	116.820
SLC22A18AS	55.600	69.333	72.460
SLC22A2	19.322	22.467	18.620
SLC22A23	92.042	107.506	102.885
SLC22A24	19.756	18.739	11.940
SLC22A25	52.433	45.635	24.280
SLC22A3	282.978	85.019	153.050
SLC22A4	46.144	84.557	16.900
SLC22A5	98.589	87.514	59.220
SLC22A6	31.239	26.270	59.220
SLC22A7	33.473	34.029	51.088
SLC22A8	31.900	27.164	29.770
SLC22A9	28.111	27.534	16.960
SLC23A1	17.600	35.233	15.820
SLC23A2	55.064	81.811	49.345
SLC23A3	27.900	24.219	23.900
SLC24A1	30.883	41.282	46.660
SLC24A2	21.506	20.340	18.370
SLC24A3	119.289	194.983	68.820
SLC24A4	19.552	20.747	23.327
SLC24A5	13.478	12.478	13.040
SLC24A6	67.733	67.506	101.190
SLC25A1	169.878	341.703	144.720
SLC25A10	48.556	84.435	52.220
SLC25A11	182.572	382.922	252.800
SLC25A12	160.383	170.442	165.040
SLC25A13	73.989	112.062	73.587
SLC25A14	133.456	124.535	110.030
SLC25A15	59.572	89.701	44.220
SLC25A16	336.614	158.582	410.340
SLC25A17	104.439	155.415	136.800
SLC25A18	29.456	42.421	63.330
SLC25A19	155.444	156.354	89.600
SLC25A2	18.611	18.335	18.500
SLC25A20	169.722	249.948	145.760
SLC25A21	8.444	9.347	7.960
SLC25A22	112.544	122.332	145.220
SLC25A23	76.294	132.186	243.350
SLC25A24	172.304	246.859	110.447
